"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"1",-81.3532023314284,27.1970654542581,"6133331E",2019-12-10 15:00:00,-231938.236688978,-1500463.00906438,-0.498772463681485,6,465040.000072707,3008296.66665432,"6133331E 2019-12-10 15:00:00",6,465018.126656433,3008311.64172402,17,"R","2019-12-10","15:00:00",15
"2",-81.3534085262803,27.1968867535425,"6133331E",2019-12-10 15:03:00,-377703.2745808,-2443542.90125909,-0.812269213829459,7,465068.571452133,3008272.85717518,"6133331E 2019-12-10 15:03:00",7,464997.64874765,3008291.9057574,17,"R","2019-12-10","15:03:00",15
"3",-81.3534851014124,27.1968049152935,"6133331E",2019-12-10 15:06:00,-306818.737328733,-1984983.48791061,-0.659839376373002,6,465040.00001964,3008263.3334063,"6133331E 2019-12-10 15:06:00",6,464990.038962589,3008282.86244699,17,"R","2019-12-10","15:06:00",15
"4",-81.3532799835582,27.1967946793152,"6133331E",2019-12-10 15:09:00,-434574.61053738,-2811384.37502517,-0.934548251165588,9,465062.222253402,3008196.66669052,"6133331E 2019-12-10 15:09:00",9,465010.351252992,3008281.67140514,17,"R","2019-12-10","15:09:00",15
"5",-81.3529669799898,27.1972457402629,"6133331E",2019-12-10 15:12:00,-415282.426321442,-2686442.48474778,-0.89300080273647,6,465040.00001964,3008263.3334063,"6133331E 2019-12-10 15:12:00",6,465041.492738719,3008331.54518514,17,"R","2019-12-10","15:12:00",15
"6",-81.3534201702374,27.1961123996275,"6133331E",2019-12-10 15:15:00,-288061.402026055,-1863559.26754276,-0.619491877064415,15,464960.00004981,3008210.000152,"6133331E 2019-12-10 15:15:00",15,464996.253689541,3008206.13883366,17,"R","2019-12-10","15:15:00",15
"7",-81.3541942757507,27.1958065415524,"6133331E",2019-12-10 15:18:00,-513712.718211752,-3323879.72715234,-1.1049498498625,20,464980.000053786,3008260.00011534,"6133331E 2019-12-10 15:18:00",20,464919.487771934,3008172.47729926,17,"R","2019-12-10","15:18:00",15
"8",-81.3536254414976,27.1955383596476,"6133331E",2019-12-10 15:21:00,-684239.404085363,-4426660.39657124,-1.47155935251877,20,464950.000058609,3008230.00010356,"6133331E 2019-12-10 15:21:00",20,464975.743529609,3008142.61347626,17,"R","2019-12-10","15:21:00",15
"9",-81.3535377705437,27.1959196738367,"6133331E",2019-12-10 15:24:00,-534321.6600595,-3456756.40913459,-1.14911702923482,20,465030.000053471,3008280.00009894,"6133331E 2019-12-10 15:24:00",20,464984.545930275,3008184.82468787,17,"R","2019-12-10","15:24:00",15
"10",-81.3532505141217,27.1960388910158,"6133331E",2019-12-10 15:27:00,-589664.649361692,-3814576.92359082,-1.26806047599081,18,465028.888943877,3008218.88900913,"6133331E 2019-12-10 15:27:00",18,465013.034099146,3008197.94940006,17,"R","2019-12-10","15:27:00",15
"11",-81.3527306129327,27.1968433847463,"6133331E",2019-12-10 15:30:00,-314571.616854778,-2034816.91897538,-0.676403872982291,17,465004.705854283,3008282.94128483,"6133331E 2019-12-10 15:30:00",17,465064.777745609,3008286.91297079,17,"R","2019-12-10","15:30:00",15
"12",-81.3530521298343,27.1964304035987,"6133331E",2019-12-10 15:39:00,-342112.187720375,-2213082.57720753,-0.735673234425473,20,464970.000084699,3008310.00012013,"6133331E 2019-12-10 15:39:00",20,465032.804934855,3008241.25936272,17,"R","2019-12-10","15:39:00",15
"13",-81.3536039006929,27.1962185202894,"6133331E",2019-12-10 15:42:00,-507403.109076973,-3282690.45832908,-1.09124090041008,20,465010.000071171,3008280.00007155,"6133331E 2019-12-10 15:42:00",20,464978.089518358,3008217.94444789,17,"R","2019-12-10","15:42:00",15
"14",-81.3534924345237,27.1963834753353,"6133331E",2019-12-10 15:45:00,-494903.26255254,-3201764.60626138,-1.0643328548984,19,465072.052657214,3008277.31589262,"6133331E 2019-12-10 15:45:00",19,464989.181039404,3008236.18431567,17,"R","2019-12-10","15:45:00",15
"15",-81.3539733324455,27.1965151430828,"6133331E",2019-12-10 15:48:00,-577826.983514953,-3738638.51483624,-1.24279477868091,21,465040.000040061,3008301.42863504,"6133331E 2019-12-10 15:48:00",21,464941.592471328,3008250.90269884,17,"R","2019-12-10","15:48:00",15
"16",-81.3536578530521,27.1965105865814,"6133331E",2019-12-10 15:51:00,-493359.637548553,-3191905.34139203,-1.06105044881969,21,465059.476204372,3008291.85722779,"6133331E 2019-12-10 15:51:00",21,464972.837151488,3008250.30981579,17,"R","2019-12-10","15:51:00",15
"17",-81.3534154974167,27.1966322251388,"6133331E",2019-12-10 15:54:00,-170102.144959702,-1100463.53829174,-0.36581351984454,17,464945.882367725,3008330.00010179,"6133331E 2019-12-10 15:54:00",17,464996.878825009,3008263.71523776,17,"R","2019-12-10","15:54:00",15
"18",-81.3534738136613,27.1963617518485,"6133331E",2019-12-10 16:03:00,-425293.625251944,-2751413.6745097,-0.914627612805477,29,464943.758648822,3008350.6552694,"6133331E 2019-12-10 16:03:00",29,464991.018527663,3008233.77294521,17,"R","2019-12-10","16:03:00",16
"19",-81.3546093676195,27.1966488104702,"6133331E",2019-12-10 16:06:00,-298664.392580652,-1932680.54832907,-0.642456691474602,23,464944.739162314,3008286.4783501,"6133331E 2019-12-10 16:06:00",23,464878.63936033,3008265.88620794,17,"R","2019-12-10","16:06:00",16
"20",-81.3536454478357,27.1963375392493,"6133331E",2019-12-10 16:09:00,-445216.383734585,-2880405.69011384,-0.957508102604187,26,464994.192314326,3008322.26931158,"6133331E 2019-12-10 16:09:00",26,464974.011732857,3008231.13901579,17,"R","2019-12-10","16:09:00",16
"21",-81.3536730599106,27.1958703940351,"6133331E",2019-12-10 16:12:00,-534780.129177795,-3459816.02551599,-1.15013619893302,27,464951.444477595,3008367.00007546,"6133331E 2019-12-10 16:12:00",27,464971.130961629,3008179.40407898,17,"R","2019-12-10","16:12:00",16
"22",-81.3541332143846,27.1968024414265,"6133331E",2019-12-10 16:15:00,-811238.278661059,-5249082.51659895,-1.74487670163082,28,464926.035776068,3008329.96435779,"6133331E 2019-12-10 16:15:00",28,464925.847140286,3008282.7696037,17,"R","2019-12-10","16:15:00",16
"23",-81.3533934593092,27.1968785801967,"6133331E",2019-12-10 16:42:00,-412615.105016522,-2669394.84966055,-0.887345955891694,25,464952.359998255,3008337.96009452,"6133331E 2019-12-10 16:42:00",25,464999.138472305,3008290.99624179,17,"R","2019-12-10","16:42:00",16
"24",-81.3535931272166,27.196082072815,"6133331E",2019-12-10 16:45:00,-455372.238103695,-2946050.72233512,-0.97933912397125,24,464948.333364499,3008330.00004188,"6133331E 2019-12-10 16:45:00",24,464979.113932615,3008202.82803447,17,"R","2019-12-10","16:45:00",16
"25",-81.3538140761197,27.195743136651,"6133331E",2019-12-10 16:48:00,-473095.394948832,-3060818.08131981,-1.0175032710024,24,464973.708335225,3008313.29174,"6133331E 2019-12-10 16:48:00",24,464957.124396034,3008165.34801351,17,"R","2019-12-10","16:48:00",16
"26",-81.353726154463,27.195749009956,"6133331E",2019-12-10 16:51:00,-403540.611575836,-2610766.31273929,-0.867893040249542,24,464973.708335225,3008313.29174,"6133331E 2019-12-10 16:51:00",24,464965.834338074,3008165.97398756,17,"R","2019-12-10","16:51:00",16
"27",-81.3536706452812,27.1965468229598,"6133331E",2019-12-10 16:54:00,-336842.497154526,-2179289.96080408,-0.724436741003295,26,464955.730780894,3008337.65392561,"6133331E 2019-12-10 16:54:00",26,464971.581491053,3008254.32705955,17,"R","2019-12-10","16:54:00",16
"28",-81.3536245975324,27.1964026179676,"6133331E",2019-12-10 17:03:00,-219387.454855805,-1419362.75303784,-0.471825231876973,10,464979.999978969,3008210.00006185,"6133331E 2019-12-10 17:03:00",10,464976.097151603,3008238.34153901,17,"R","2019-12-10","17:03:00",17
"29",-81.3539526501685,27.1958684090265,"6133331E",2019-12-10 17:06:00,-233488.342174557,-1510667.17054241,-0.502186551659738,11,464967.272692191,3008184.54555988,"6133331E 2019-12-10 17:06:00",11,464943.438654168,3008179.26236699,17,"R","2019-12-10","17:06:00",17
"30",-81.35374267817,27.1963570498028,"6133331E",2019-12-10 17:09:00,-337186.544436214,-2181534.38643775,-0.725187892402108,12,465006.666650361,3008163.3334101,"6133331E 2019-12-10 17:09:00",12,464964.387807578,3008233.32724385,17,"R","2019-12-10","17:09:00",17
"31",-81.3536368012788,27.196463647942,"6133331E",2019-12-10 17:12:00,-254750.290342451,-1648156.28001501,-0.547879651615142,13,464963.076876447,3008176.15393199,"6133331E 2019-12-10 17:12:00",13,464974.907521115,3008245.10484422,17,"R","2019-12-10","17:12:00",17
"32",-81.3539723937295,27.1961083493585,"6133331E",2019-12-10 17:15:00,-234617.485210148,-1517992.26754878,-0.504617152549928,11,464967.272692191,3008184.54555988,"6133331E 2019-12-10 17:15:00",11,464941.558218108,3008205.84452604,17,"R","2019-12-10","17:15:00",17
"33",-81.3535095348156,27.1966938138416,"6133331E",2019-12-10 17:18:00,-124223.778906759,-803674.657045268,-0.267155044780505,10,465000.000025123,3008190.00000807,"6133331E 2019-12-10 17:18:00",10,464987.584302672,3008270.56328122,17,"R","2019-12-10","17:18:00",17
"34",-81.3553859792752,27.198903502523,"6133331E",2019-12-10 18:51:00,-368223.870495995,-2383394.05694673,-0.792215890594167,9,464817.777903592,3008574.44449755,"6133331E 2019-12-10 18:51:00",9,464802.429322423,3008515.84176021,17,"R","2019-12-10","18:51:00",18
"35",-81.3557029460786,27.1991689064972,"6133331E",2019-12-10 18:54:00,-421406.296700396,-2727837.18817066,-0.906696390070672,10,464840.00007993,3008510.00001231,"6133331E 2019-12-10 18:54:00",10,464771.119985985,3008545.32789971,17,"R","2019-12-10","18:54:00",18
"36",-81.3554585062362,27.1991117160763,"6133331E",2019-12-10 18:57:00,-398156.709685619,-2577198.88598146,-0.856628067831194,9,464817.777903592,3008574.44449755,"6133331E 2019-12-10 18:57:00",9,464795.311568146,3008538.9246075,17,"R","2019-12-10","18:57:00",18
"37",-81.3556028936199,27.1990574742219,"6133331E",2019-12-10 19:00:00,-338805.340193869,-2193091.03561117,-0.728956959039641,8,464790.000171035,3008605.00008904,"6133331E 2019-12-10 19:00:00",8,464780.994258187,3008532.95714528,17,"R","2019-12-10","19:00:00",19
"38",-81.3553462346995,27.1992145098838,"6133331E",2019-12-10 19:03:00,-421389.62578139,-2727526.3495547,-0.906591579569614,9,464817.777903592,3008574.44449755,"6133331E 2019-12-10 19:03:00",9,464806.463326558,3008550.27889134,17,"R","2019-12-10","19:03:00",19
"39",-81.3553565251267,27.1991309155989,"6133331E",2019-12-10 19:09:00,-424828.407376867,-2749782.25708338,-0.913991943752005,12,464823.333430879,3008480.00004746,"6133331E 2019-12-10 19:09:00",12,464805.417904358,3008541.02257764,17,"R","2019-12-10","19:09:00",19
"40",-81.355290181029,27.1987541489443,"6133331E",2019-12-10 19:12:00,-427184.926438128,-2764958.51763957,-0.919049089837053,12,464790.000096698,3008496.66672492,"6133331E 2019-12-10 19:12:00",12,464811.870401686,3008499.2719266,17,"R","2019-12-10","19:12:00",19
"41",-81.3557621005504,27.1987227569876,"6133331E",2019-12-10 19:15:00,-663539.291790099,-4295191.62850683,-1.42768736676003,13,464747.69238326,3008514.61540055,"6133331E 2019-12-10 19:15:00",13,464765.121019403,3008495.92740619,17,"R","2019-12-10","19:15:00",19
"42",-81.3554760070157,27.1982992318864,"6133331E",2019-12-10 19:18:00,-579810.412369364,-3752915.39601117,-1.24745856619749,14,464782.857191821,3008430.00007072,"6133331E 2019-12-10 19:18:00",14,464793.323065426,3008448.93586391,17,"R","2019-12-10","19:18:00",19
"43",-81.3555158640961,27.198555963856,"6133331E",2019-12-10 19:21:00,-605820.854205616,-3921341.83353795,-1.30343071711315,13,464793.846212311,3008468.46159725,"6133331E 2019-12-10 19:21:00",13,464789.456203237,3008477.38361037,17,"R","2019-12-10","19:21:00",19
"44",-81.3553472019663,27.1985205753426,"6133331E",2019-12-10 19:30:00,-451345.063022899,-2921346.08123249,-0.971039353455273,20,464860.000026147,3008450.00009037,"6133331E 2019-12-10 19:30:00",20,464806.149634273,3008473.41648657,17,"R","2019-12-10","19:30:00",19
"45",-81.3551721721648,27.1991507864262,"6133331E",2019-12-10 19:33:00,-356246.218963936,-2305782.10531613,-0.766411506716589,19,464934.736922873,3008477.36845539,"6133331E 2019-12-10 19:33:00",19,464823.68263251,3008543.17179346,17,"R","2019-12-10","19:33:00",19
