"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"1",-81.3525557828637,27.1975364547449,"6133331E",2019-12-10 15:01:00,-97440.1635846826,-630287.238322019,-0.20951165337752,6,465040.000072707,3008296.66665432,"6133331E 2019-12-10 15:01:00",6,465082.309331522,3008363.63114514,17,"R","2019-12-10","15:01:00",15
"2",-81.3533974430231,27.1969634409487,"6133331E",2019-12-10 15:02:00,-142837.747846731,-924085.999516481,-0.307178764623986,5,465000.00007783,3008290.00002749,"6133331E 2019-12-10 15:02:00",5,464998.770411676,3008300.39683129,17,"R","2019-12-10","15:02:00",15
"3",-81.3534606577953,27.1969797636876,"6133331E",2019-12-10 15:03:00,-124850.733760468,-807730.722759724,-0.268500523894358,6,465040.000072707,3008296.66665432,"6133331E 2019-12-10 15:03:00",6,464992.514538223,3008302.22244753,17,"R","2019-12-10","15:03:00",15
"4",-81.3534423660111,27.1968742120372,"6133331E",2019-12-10 15:04:00,-127347.998802365,-823880.602139689,-0.273870025185815,5,465000.00007783,3008290.00002749,"6133331E 2019-12-10 15:04:00",5,464994.293245354,3008290.52606507,17,"R","2019-12-10","15:04:00",15
"5",-81.3532229599307,27.1969473365571,"6133331E",2019-12-10 15:05:00,-109068.758650156,-705591.54334374,-0.234548376183897,6,465040.00001964,3008263.3334063,"6133331E 2019-12-10 15:05:00",6,465016.046688128,3008298.56434616,17,"R","2019-12-10","15:05:00",15
"6",-81.3534025882293,27.1967673241051,"6133331E",2019-12-10 15:06:00,-83410.8777000693,-539621.79839096,-0.179378926146309,6,465040.00001964,3008263.3334063,"6133331E 2019-12-10 15:06:00",6,464998.199576888,3008278.67567242,17,"R","2019-12-10","15:06:00",15
"7",-81.3535644700328,27.1967114590033,"6133331E",2019-12-10 15:07:00,-74526.1507029283,-482158.23489947,-0.160277444812495,5,465039.999986393,3008290.00004114,"6133331E 2019-12-10 15:07:00",5,464982.1488614,3008272.53306625,17,"R","2019-12-10","15:07:00",15
"8",-81.3533841154222,27.1970455645342,"6133331E",2019-12-10 15:08:00,-128199.50257744,-829384.26641895,-0.275697786194808,5,465000.00007783,3008290.00002749,"6133331E 2019-12-10 15:08:00",5,465000.116057712,3008309.4894092,17,"R","2019-12-10","15:08:00",15
"9",-81.3532255403308,27.1970140105354,"6133331E",2019-12-10 15:09:00,-107079.069757325,-692721.826702093,-0.230269739245202,6,465040.000072707,3008296.66665432,"6133331E 2019-12-10 15:09:00",6,465015.811926994,3008305.95011206,17,"R","2019-12-10","15:09:00",15
"10",-81.3533417636282,27.1969090280577,"6133331E",2019-12-10 15:10:00,-169074.353047028,-1093808.07157616,-0.363597421909451,5,465000.00007783,3008290.00002749,"6133331E 2019-12-10 15:10:00",5,465004.268069682,3008294.3543218,17,"R","2019-12-10","15:10:00",15
"11",-81.3526827868615,27.1969024945323,"6133331E",2019-12-10 15:11:00,-135081.933844712,-873774.925119663,-0.290455349704662,7,465040.000006807,3008187.14288487,"6133331E 2019-12-10 15:11:00",7,465069.533000733,3008293.44685208,17,"R","2019-12-10","15:11:00",15
"12",-81.3529902752292,27.1971740525799,"6133331E",2019-12-10 15:12:00,-144326.779841547,-933645.365674756,-0.31035403311256,5,465039.999986393,3008290.00004114,"6133331E 2019-12-10 15:12:00",5,465039.163158555,3008323.61130019,17,"R","2019-12-10","15:12:00",15
"13",-81.3527623874649,27.1972273381719,"6133331E",2019-12-10 15:13:00,-109440.983945736,-707937.246524136,-0.235325704289402,6,465040.00001964,3008263.3334063,"6133331E 2019-12-10 15:13:00",6,465061.750377877,3008329.44986545,17,"R","2019-12-10","15:13:00",15
